0 1.5125e+06 2.90878e-10
0 1.5625e+06 2.09731e-15
0 1.565e+06 2.07738e-15
0.0174533 1.5125e+06 2.90878e-10
0.0174533 1.5625e+06 2.09731e-15
0.0174533 1.565e+06 2.07738e-15
0.0523599 1.5125e+06 2.90123e-10
0.0523599 1.5625e+06 2.09147e-15
0.0523599 1.565e+06 2.07157e-15
0.0872665 1.5125e+06 2.88621e-10
0.0872665 1.5625e+06 2.07986e-15
0.0872665 1.565e+06 2.06002e-15
0.122173 1.5125e+06 2.86387e-10
0.122173 1.5625e+06 2.06262e-15
0.122173 1.565e+06 2.04288e-15
0.15708 1.5125e+06 2.83443e-10
0.15708 1.5625e+06 2.03997e-15
0.15708 1.565e+06 2.02035e-15
0.191986 1.5125e+06 2.7982e-10
0.191986 1.5625e+06 2.01217e-15
0.191986 1.565e+06 1.99272e-15
0.226893 1.5125e+06 2.75552e-10
0.226893 1.5625e+06 1.97959e-15
0.226893 1.565e+06 1.96033e-15
0.261799 1.5125e+06 2.70684e-10
0.261799 1.5625e+06 1.94259e-15
0.261799 1.565e+06 1.92357e-15
0.296706 1.5125e+06 2.65261e-10
0.296706 1.5625e+06 1.90163e-15
0.296706 1.565e+06 1.88289e-15
0.331613 1.5125e+06 2.59336e-10
0.331613 1.5625e+06 1.85719e-15
0.331613 1.565e+06 1.83877e-15
0.366519 1.5125e+06 2.52966e-10
0.366519 1.5625e+06 1.80979e-15
0.366519 1.565e+06 1.79172e-15
0.401426 1.5125e+06 2.4621e-10
0.401426 1.5625e+06 1.75996e-15
0.401426 1.565e+06 1.7423e-15
0.436332 1.5125e+06 2.39129e-10
0.436332 1.5625e+06 1.70827e-15
0.436332 1.565e+06 1.69107e-15
0.471239 1.5125e+06 2.31787e-10
0.471239 1.5625e+06 1.65529e-15
0.471239 1.565e+06 1.63858e-15
0.506145 1.5125e+06 2.24247e-10
0.506145 1.5625e+06 1.60156e-15
0.506145 1.565e+06 1.58541e-15
0.541052 1.5125e+06 2.16573e-10
0.541052 1.5625e+06 1.54766e-15
0.541052 1.565e+06 1.53211e-15
0.575959 1.5125e+06 2.08826e-10
0.575959 1.5625e+06 1.49411e-15
0.575959 1.565e+06 1.47921e-15
0.610865 1.5125e+06 2.01068e-10
0.610865 1.5625e+06 1.44143e-15
0.610865 1.565e+06 1.42723e-15
0.645772 1.5125e+06 1.93355e-10
0.645772 1.5625e+06 1.39009e-15
0.645772 1.565e+06 1.37664e-15
0.680678 1.5125e+06 1.85744e-10
0.680678 1.5625e+06 1.34052e-15
0.680678 1.565e+06 1.32787e-15
0.715585 1.5125e+06 1.78283e-10
0.715585 1.5625e+06 1.29312e-15
0.715585 1.565e+06 1.28131e-15
0.750492 1.5125e+06 1.7102e-10
0.750492 1.5625e+06 1.24822e-15
0.750492 1.565e+06 1.2373e-15
0.785398 1.5125e+06 1.63995e-10
0.785398 1.5625e+06 1.20612e-15
0.785398 1.565e+06 1.19612e-15
0.820305 1.5125e+06 1.57245e-10
0.820305 1.5625e+06 1.16703e-15
0.820305 1.565e+06 1.15799e-15
0.855211 1.5125e+06 1.50801e-10
0.855211 1.5625e+06 1.13112e-15
0.855211 1.565e+06 1.12308e-15
0.890118 1.5125e+06 1.44688e-10
0.890118 1.5625e+06 1.09851e-15
0.890118 1.565e+06 1.09148e-15
0.925025 1.5125e+06 1.38926e-10
0.925025 1.5625e+06 1.06925e-15
0.925025 1.565e+06 1.06325e-15
0.959931 1.5125e+06 1.3353e-10
0.959931 1.5625e+06 1.04332e-15
0.959931 1.565e+06 1.03837e-15
0.994838 1.5125e+06 1.28509e-10
0.994838 1.5625e+06 1.02067e-15
0.994838 1.565e+06 1.01677e-15
1.02974 1.5125e+06 1.23867e-10
1.02974 1.5625e+06 1.0012e-15
1.02974 1.565e+06 9.98338e-16
1.06465 1.5125e+06 1.19605e-10
1.06465 1.5625e+06 9.84739e-16
1.06465 1.565e+06 9.82915e-16
1.09956 1.5125e+06 1.15719e-10
1.09956 1.5625e+06 9.71107e-16
1.09956 1.565e+06 9.70296e-16
1.13446 1.5125e+06 1.122e-10
1.13446 1.5625e+06 9.60073e-16
1.13446 1.565e+06 9.60249e-16
1.16937 1.5125e+06 1.09038e-10
1.16937 1.5625e+06 9.51386e-16
1.16937 1.565e+06 9.52511e-16
1.20428 1.5125e+06 1.06219e-10
1.20428 1.5625e+06 9.44773e-16
1.20428 1.565e+06 9.46804e-16
1.23918 1.5125e+06 1.0373e-10
1.23918 1.5625e+06 9.39952e-16
1.23918 1.565e+06 9.42836e-16
1.27409 1.5125e+06 1.01553e-10
1.27409 1.5625e+06 9.36636e-16
1.27409 1.565e+06 9.40312e-16
1.309 1.5125e+06 9.96718e-11
1.309 1.5625e+06 9.34541e-16
1.309 1.565e+06 9.38942e-16
1.3439 1.5125e+06 9.80698e-11
1.3439 1.5625e+06 9.33394e-16
1.3439 1.565e+06 9.38444e-16
1.37881 1.5125e+06 9.67309e-11
1.37881 1.5625e+06 9.32937e-16
1.37881 1.565e+06 9.38557e-16
1.41372 1.5125e+06 9.56402e-11
1.41372 1.5625e+06 9.3294e-16
1.41372 1.565e+06 9.39044e-16
1.44862 1.5125e+06 9.47847e-11
1.44862 1.5625e+06 9.332e-16
1.44862 1.565e+06 9.39696e-16
1.48353 1.5125e+06 9.41532e-11
1.48353 1.5625e+06 9.33547e-16
1.48353 1.565e+06 9.40341e-16
1.51844 1.5125e+06 9.37372e-11
1.51844 1.5625e+06 9.33853e-16
1.51844 1.565e+06 9.40847e-16
